2021_12,神戸,大阪,京都
1,10.1,10.8,10.3
2,7.9,8,6.8
3,9.8,9.6,8
4,9.4,10,8
5,7.8,7.7,6.3
6,11.1,10.5,9.9
7,12.2,11.1,11
8,12,12,11.1
9,11.6,11.3,10.1
10,12.1,11.4,10.3
11,12,11.7,10.6
12,13,12.9,11.4
13,9.6,9.6,8.1
14,8.4,8.2,7.1
15,10.8,9.8,7.8
16,12,11.2,9.8
17,9.5,9.6,8.9
18,4.1,4.9,3.2
19,6.2,6.9,5.3
20,8.5,9.3,7
21,10.9,10.3,8.1
22,9.9,8.9,7.3
23,8.2,8.2,6.4
24,10,9,8.5
25,8.9,8.8,7.5
26,3.4,3.6,1.7
27,2.9,3.4,1.8
28,5.5,5.6,4
29,7.5,7,5.5
30,7.8,7.9,6.6
31,3.5,4,1.7
